log_timestamp_verbose,log_timestamp_posix,timestamp_verbose,timestamp_posix,interval_sec,msg_source,msg_type,msg_count,msg_served,msg_rejected
2025-11-15 15:54:59.148443,1763247299.1484423,2025-11-15 22:54:59.148,1763247299.148184,300.0,speedway-mountain,MAP,0,NA,NA
2025-11-15 15:54:59.148462,1763247299.1484618,2025-11-15 22:54:59.148,1763247299.148219,300.0,speedway-mountain,SPaT,0,NA,NA
2025-11-15 15:55:27.178558,1763247327.1785529,2025-11-15 22:55:27.178,1763247327.178299,300.0,speedway-mountain,SRM,0,0,0
2025-11-15 15:59:59.787240,1763247599.7872398,2025-11-15 22:59:59.787,1763247599.78718,300.0,speedway-mountain,SSM,300,NA,NA
2025-11-15 15:59:59.787266,1763247599.7872653,2025-11-15 22:59:59.787,1763247599.787228,300.0,speedway-mountain,MAP,0,NA,NA
2025-11-15 15:59:59.787297,1763247599.787297,2025-11-15 22:59:59.787,1763247599.787262,300.0,speedway-mountain,SPaT,0,NA,NA
2025-11-15 16:00:27.755580,1763247627.7555735,2025-11-15 23:00:27.755,1763247627.755037,300.0,speedway-mountain,SRM,0,0,0
2025-11-15 16:04:59.370970,1763247899.370968,2025-11-15 23:04:59.370,1763247899.370821,300.0,speedway-mountain,SSM,299,NA,NA
2025-11-15 16:04:59.371013,1763247899.3710122,2025-11-15 23:04:59.370,1763247899.370879,300.0,speedway-mountain,MAP,0,NA,NA
2025-11-15 16:04:59.371029,1763247899.3710284,2025-11-15 23:04:59.370,1763247899.370914,300.0,speedway-mountain,SPaT,0,NA,NA
2025-11-15 16:05:29.292031,1763247929.292025,2025-11-15 23:05:29.291,1763247929.291711,300.0,speedway-mountain,SRM,0,0,0
2025-11-15 16:09:59.054129,1763248199.0541272,2025-11-15 23:09:59.53,1763248199.053322,300.0,speedway-mountain,SSM,299,NA,NA
2025-11-15 16:09:59.054160,1763248199.05416,2025-11-15 23:09:59.53,1763248199.053652,300.0,speedway-mountain,MAP,0,NA,NA
2025-11-15 16:09:59.054180,1763248199.0541794,2025-11-15 23:09:59.53,1763248199.053697,300.0,speedway-mountain,SPaT,0,NA,NA
2025-11-15 16:10:30.027250,1763248230.0272446,2025-11-15 23:10:30.26,1763248230.026977,300.0,speedway-mountain,SRM,0,0,0
2025-11-15 16:14:59.852428,1763248499.8524258,2025-11-15 23:14:59.852,1763248499.852347,300.0,speedway-mountain,SSM,300,NA,NA
2025-11-15 16:14:59.852468,1763248499.852468,2025-11-15 23:14:59.852,1763248499.852397,300.0,speedway-mountain,MAP,0,NA,NA
2025-11-15 16:14:59.852487,1763248499.8524866,2025-11-15 23:14:59.852,1763248499.852431,300.0,speedway-mountain,SPaT,0,NA,NA
2025-11-15 16:15:30.795059,1763248530.7950525,2025-11-15 23:15:30.794,1763248530.794737,300.0,speedway-mountain,SRM,0,0,0
2025-11-15 16:19:59.533757,1763248799.5337503,2025-11-15 23:19:59.533,1763248799.533455,300.0,speedway-mountain,SSM,299,NA,NA
